
Hint:
I used that and could so update to the newest version. Does probably also work with any other serial...
   The 3astUpRoaR


S/N: Home_Form,Away_Form,Home_xG,Away_xG,Home_Poss,Away_Poss,Result
9.0,8.0,2.5,1.2,65,35,Thắng
8.5,7.5,2.1,1.8,60,40,Thắng
7.0,7.0,1.5,1.5,50,50,Hòa
6.0,9.0,1.2,2.8,40,60,Thua
8.0,6.0,2.0,1.0,55,45,Thắng
5.0,5.0,1.1,1.1,48,52,Hòa
9.5,8.5,3.1,2.0,62,38,Thắng
4.0,8.0,0.8,2.2,35,65,Thua
7.5,7.5,1.8,1.7,52,48,Hòa
8.2,5.5,2.3,0.9,58,42,Thắng
6.5,8.0,1.4,2.1,45,55,Thua
9.0,9.0,2.5,2.4,50,50,Hòa
8.8,4.0,2.7,0.7,70,30,Thắng
5.5,7.0,1.3,1.9,42,58,Thua
7.8,6.5,1.9,1.4,54,46,Thắng
